SECTORNUMBER,INDUSTRY_OUTPUT,COMMODITY_OUTPUT
1,192696.19,188108.726
2,256941.01,253821.195
3,5033.221,7097.199
4,23643.312,25269.326
5,8521.098,8809.937
6,27719.786,32478.636
7,521382.958,461596.138
8,25604.801,15968.394
9,32442.439,30039.468
10,43035.993,36048.599
11,88363.348,123093.491
12,491704.108,575942.738
13,83849.971,92259.68
14,15384.57,82480.172
15,1848214.389,1945101.042
16,60336.812,58974.412
17,91385.674,89732.028
18,35783.523,36684.461
19,70109.368,76801.339
20,151407.134,138214.878
21,263563.365,263358.213
22,13931.188,13836
23,68818.109,79876.211
24,133001.842,136320.533
25,194365.404,195820.656
26,39109.873,35621.079
27,18592.867,32058.798
28,48329.559,51491.482
29,21692.163,20988.854
30,68128.55,62462.622
31,55543.463,53850.197
32,103942.752,102550.096
33,60569.748,43345.88
34,536413.891,546636.336
35,397148.306,402724.839
36,408708.824,327775.167
37,138392.626,128864.433
38,186040.369,179681.087
39,44376.565,42935.137
40,121393.37,116586.491
41,109019.926,126644.382
42,26810.076,9782.016
43,43306.223,41909.866
44,63870.502,63407.37
45,28952.17,28056.142
46,111398.503,101305.383
47,112067.232,105820.845
48,66359.292,65354.144
49,25435.182,25213.435
50,255117.498,240701.816
51,27910.009,24642.075
52,32178.26,30913.53
53,39320.871,37975.241
54,45360.415,22927.08
55,69296.751,54716.013
56,5979.072,8786.202
57,191206.639,152829.914
58,176813.819,158986.327
59,1442.084,1377.135
60,11902.209,11510.91
61,27333.135,28156.444
62,42052.342,39273.886
63,52819.361,51254.737
64,523951.468,529024.636
65,76329.165,63607.212
66,220096.408,207519.183
67,307848.912,286321.019
68,9308.097,9124.094
69,54822.63,35974.261
70,35272.38,51153.108
71,54033.831,50694.503
72,9977.347,14900.584
73,112984.266,96881.801
74,79856.537,86859.456
75,2666559.813,2620122.896
76,442668.691,407626.784
77,317710.116,310214.637
78,349771.638,346261.994
79,1697198.986,1676594.233
80,336393.261,326109.169
81,80199.476,78276.285
82,51085.905,49183.621
83,479750.358,440115.642
84,129326.618,141409.516
85,63792.013,67358.049
86,202633.857,221163.183
87,142032.409,163280.289
88,171613.842,176119.112
89,924691.328,818694.545
90,265792.324,263075.357
91,947063.851,904308.775
92,608558.192,785060.639
93,893637.129,400671.455
94,1220053.556,1152170.36
95,945261.056,944288.31
96,88897.914,117025.223
97,813065.079,798924.503
98,607195.995,611006.056
99,2485608.241,2498141.074
100,77769.662,129836.5
101,186654.258,210593.822
102,344775.201,344068.982
103,386937.339,383836.35
104,261760.391,272769.301
105,473681.177,485197.297
106,63417.998,64883.826
107,988839.719,1050697.339
108,664160.117,538129.905
109,462251.911,1046785.666
110,249291.748,763779.883
111,220438.981,214754.428
112,991387.678,953263.581
113,109925.14,63706.032
114,36908.007,42847.401
115,678867.494,671685.919
116,114686.406,133368.484
117,87991.937,85909.154
118,66863.024,69240.114
119,317415.161,305070.609
120,91555.543,53671.904
121,149006.881,166420.065
122,56629.825,57578.473
123,256394.47,274085.191
124,120108.779,126619.557
125,805108.826,835011.682
126,158381.023,157792.04
127,185044.744,173607.024
128,263522.005,275405.174
129,108162.284,107561.859
130,152719.524,188732.789
131,53608.834,57175.176
132,1228443.483,1599868.168
133,299679.99,298345.542
134,184783.252,168215.097
135,69002.86,72208.424
136,76229.121,84667.184
137,40148.141,73202.515
138,70889.433,67013.321
139,95594.242,59177.528
140,80757.36,68196.81
141,27657.338,28440.375
142,35954.932,26959.05
143,45940.824,137409.781
144,128585.12,118074.449
145,358777.661,304293.591
146,1148196.54,1296193.158
147,176506.08,221371.67
148,22103.65,59904.151
149,48560.103,72323.028
150,25068.715,60813.542
151,100410.312,98445.206
152,26450.847,21034.191
153,30590.312,30219.223
154,92296.368,108372.541
155,111593.302,111395.553
156,89116.278,95451.409
157,116856.277,110734.954
158,22087.883,19734.808
159,1273111.189,1142913.39
160,70473.316,69830.628
161,1222084.807,974167.097
162,425682.245,87751.291
163,1458599.171,1058885.502
164,2186248.517,2186485.579
165,0,10774.182
166,0,6291.665